男|甘肃|1985|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大四学生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|性格温和，有热情，做事认真稳重||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|||
男|上海|1984|上海工程技术大学松江校区|本科在读|本科在读|机械工程及其自动化|本科大四学生|小学语文,小学数学,小学奥数,初一初二物理,初一初二化学,高一高二物理,上海话,精准普通话,计算机基本操作,初级数据库,计算机应用能力初级,滑冰旱冰,|为人诚实稳重，善于沟通，耐心仔细。擅长机械类及电脑维修||小学语文,小学数学,小学奥数,初一初二物理,初一初二化学,高一高二物理,上海话,精准普通话,计算机基本操作,初级数据库,计算机应用能力初级,滑冰旱冰,|||
女|陕西|1972|西安音乐学院|本科毕业|本科毕业|钢琴|离职大学教师|钢琴,无|教学认真严谨，教学经验丰富，可教授0——10级学生||钢琴,无|钢琴|10|大学讲师
女|宁厦|1987|同济大学（真南路）|本科在读|本科在读|化学|本科大二学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二化学,初三化学,中考心里辅导,高一高二化学,高三化学,|我性格开朗，来自农村，有耐心，喜欢小孩，喜欢交友，语言表达能力强，善于交际，有责任心，高中时担任过班长，曾3次被评为校级三好学生，现时班委，且是一校组织的负责，我会尽全力，使家长学生满意。||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二化学,初三化学,中考心里辅导,高一高二化学,高三化学,|||
女|北京|1984|华东理工大学（梅陇）|本科在读|本科在读|英语|本科大三学生|初一初二英语,初三英语,高一高二英语,高三英语,精准普通话,初级新概念英语,初一初二语文,|专业四级证书||初一初二英语,初三英语,高一高二英语,高三英语,精准普通话,初级新概念英语,初一初二语文,|||
男|江苏|1980-2|华东师范大学（普陀）|硕士在读|硕士在读|化学，课程|在读硕士生|初一初二数学,初一初二物理,初一初二化学,初三化学,高一高二化学,精准普通话,计算机基本操作,乒乓球,|||初一初二数学,初一初二物理,初一初二化学,初三化学,高一高二化学,精准普通话,计算机基本操作,乒乓球,|||
女|湖北|1984|华东师范大学（普陀）|硕士在读|硕士在读|历史系中国近现代史|在读硕士生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,高一高二语文,高一高二数学,高三数学,|个性开朗大方、为人随和，善于与人沟通。本科专业是武汉大学人文科学试验班，类似于国家基地班，专业包括文、史、哲三个方面；擅长的不仅包括人文学科方面，从小到高中的数学都是名列前茅，初中数学奥赛曾获得过省级一等奖；英语拿到四、六级证书。||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,高一高二语文,高一高二数学,高三数学,|||
女|湖北|1980|上海交通大学|本科毕业|本科毕业|钢琴|在职幼儿教师|钢琴,精准普通话,乐理,即兴伴奏,和声学,考级|我于师范学院毕业,是上海国际学校音乐老师,19岁开始在音乐厅里弹钢琴,有多年的演奏经验18岁开始教刚琴,迄今有8年了，选用的教材种类多，因材施教，耐心，擅长教幼儿，和成人即兴伴奏||钢琴,精准普通话,乐理,即兴伴奏,和声学,考级|音乐|8|幼儿教师
女|北京|1981|上海海事大学|本科毕业|本科毕业|财务会计|物流操作|初一初二英语,小学英语,初三英语,高一高二英语,精准普通话,初级日语,长笛,|从初中开始学习长笛,并且通过中央音乐学院长笛8级.现在工作主要是和外国公司联系,英语通过六级||初一初二英语,小学英语,初三英语,高一高二英语,精准普通话,初级日语,长笛,|||
男|上海|1981|东华大学|本科毕业|本科毕业|数学与应用数学|软件工程师|小学数学,小学英语,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高等数学,计算机基本操作,初级数据库,计算机应用能力初级,程序设计初级,|数学功底扎实具备高中数学教师资格证书||小学数学,小学英语,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高等数学,计算机基本操作,初级数据库,计算机应用能力初级,程序设计初级,|||
男|山东|1980－6|华东师范大学（普陀）|硕士在读|硕士在读|化学|在读硕士生|初一初二化学,初三化学,高一化学,高二化学,高三化学,|有辅导学生的经验～！||初一初二化学,初三化学,高一化学,高二化学,高三化学,|||
